Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Sales Units,787.29,6,2.143,0.857,,,,,,,,,796.29
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Price per Sales (KG/LIT/000'U),72.215,17.2,24.76,17.15,,,,,,,,,71.61
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Numeric Distribution Selling (C),0.05,0.006,0.00,0.00,,,,,,,,,0.05
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Weighted Distribution - Reach - Product Segment,3.176,0.291,0.12,0.06,,,,,,,,,2.70
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Sales Value,,,,,,,"1,028.10","4,308.25","1,922.50",817.82,292.67,22.35,"8,391.68"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Sales (KG/LIT/000'U),,,,,,,10.76,45.11,20.24,9.09,5.13,0.31,90.64
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Sales Units,,,,,,,69.00,289.14,129.71,58.29,32.86,2.00,581.00
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Price per Sales (KG/LIT/000'U),,,,,,,95.51,95.51,95.01,89.94,57.10,71.64,92.59
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Numeric Distribution Selling (C),,,,,,,0.028,0.04,0.04,0.02,0.01,0.00,0.04
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,156GM,CADBURY,CADBURY CHOCOLATE CENTRE COOKIES 156G,9300617061304,CHOCOLATE,Weighted Distribution - Reach - Product Segment,,,,,,,1.53,2.01,1.49,0.73,0.30,0.06,2.12
